Rank1,YearType,Year,Value,Unit,Attribute,Commodity,CommodityType
1011,Market year,2024/25,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
1012,Market year,2024/25,865,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
1013,Market year,2024/25,38.1,Million acres,Harvested acres,Wheat,Crops
1014,Market year,2024/25,45.5,Million acres,Planted acres,Wheat,Crops
1015,Market year,2024/25,776,Million bushels,Beginning stocks,Wheat,Crops
1016,Market year,2024/25,749,Million bushels,Ending stocks,Wheat,Crops
1017,Market year,2024/25,125,Million bushels,Imports,Wheat,Crops
1018,Market year,2024/25,1916,Million bushels,Production,Wheat,Crops
1019,Market year,2024/25,2817,Million bushels,Total supply,Wheat,Crops
1020,Market year,2024/25,1118,Million bushels,Domestic use,Wheat,Crops
1021,Market year,2024/25,967,Million bushels,Food,Wheat,Crops
1022,Market year,2024/25,90,Million bushels,Feed & residual,Wheat,Crops
1023,Market year,2024/25,61,Million bushels,Seed,Wheat,Crops
1024,Market year,2024/25,2068,Million bushels,Total use,Wheat,Crops
1025,Market year,2024/25,950,Million bushels,Exports,Wheat,Crops
1026,Market year,2024/25,125,Dollars per acre,Net returns,Wheat,Crops
1027,Market year,2024/25,3.38,Dollars per bushel,Loan rate,Wheat,Crops
1028,Market year,2024/25,5.1,Dollars per bushel,Farm price,Wheat,Crops
1029,Market year,2024/25,36.2,Percent,"Stocks/use ratio, percent",Wheat,Crops
1030,Market year,2024/25,132,Dollars,Variable cost of production (per acre),Wheat,Crops
1031,Market year,2024/25,2.62,Dollars,Variable cost of production (per bushel),Wheat,Crops
1032,Market year,2024/25,50.3,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
1033,Market year,2025/26,2.2,Million acres,Harvested acres,Barley,Crops
1034,Market year,2025/26,2.6,Million acres,Planted acres,Barley,Crops
1035,Market year,2025/26,83,Million bushels,Beginning stocks,Barley,Crops
1036,Market year,2025/26,80,Million bushels,Ending stocks,Barley,Crops
1037,Market year,2025/26,10,Million bushels,Imports,Barley,Crops
1038,Market year,2025/26,175,Million bushels,Production,Barley,Crops
1039,Market year,2025/26,268,Million bushels,Total supply,Barley,Crops
1040,Market year,2025/26,183,Million bushels,Domestic use,Barley,Crops
1041,Market year,2025/26,143,Million bushels,"Food, seed, & industrial",Barley,Crops
1042,Market year,2025/26,40,Million bushels,Feed & residual,Barley,Crops
1043,Market year,2025/26,188,Million bushels,Total use,Barley,Crops
1044,Market year,2025/26,5,Million bushels,Exports,Barley,Crops
1045,Market year,2025/26,180,Dollars per acre,Net returns,Barley,Crops
1046,Market year,2025/26,2.5,Dollars per bushel,Loan rate,Barley,Crops
1047,Market year,2025/26,4.5,Dollars per bushel,Farm price,Barley,Crops
1048,Market year,2025/26,42.6,Percent,"Stocks/use ratio, percent",Barley,Crops
1049,Market year,2025/26,179,Dollars,Variable cost of production (per acre),Barley,Crops
1050,Market year,2025/26,2.24,Dollars,Variable cost of production (per bushel),Barley,Crops
1051,Market year,2025/26,79.7,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
1052,Market year,2025/26,82.5,Million acres,Harvested acres,Corn,Crops
1053,Market year,2025/26,90,Million acres,Planted acres,Corn,Crops
1054,Market year,2025/26,2562,Million bushels,Beginning stocks,Corn,Crops
1055,Market year,2025/26,2672,Million bushels,Ending stocks,Corn,Crops
1056,Market year,2025/26,25,Million bushels,Imports,Corn,Crops
1057,Market year,2025/26,15550,Million bushels,Production,Corn,Crops
1058,Market year,2025/26,18137,Million bushels,Total supply,Corn,Crops
1059,Market year,2025/26,12940,Million bushels,Domestic use,Corn,Crops
1060,Market year,2025/26,5125,Million bushels,Ethanol and by-products,Corn,Crops
1061,Market year,2025/26,6540,Million bushels,"Food, seed, & industrial",Corn,Crops
1062,Market year,2025/26,6400,Million bushels,Feed & residual,Corn,Crops
1063,Market year,2025/26,15465,Million bushels,Total use,Corn,Crops
1064,Market year,2025/26,2525,Million bushels,Exports,Corn,Crops
1065,Market year,2025/26,332,Dollars per acre,Net returns,Corn,Crops
1066,Market year,2025/26,2.2,Dollars per bushel,Loan rate,Corn,Crops
1067,Market year,2025/26,3.55,Dollars per bushel,Farm price,Corn,Crops
1068,Market year,2025/26,17.3,Percent,"Stocks/use ratio, percent",Corn,Crops
1069,Market year,2025/26,337,Dollars,Variable cost of production (per acre),Corn,Crops
1070,Market year,2025/26,1.79,Dollars,Variable cost of production (per bushel),Corn,Crops
1071,Market year,2025/26,188.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
1072,Market year,2025/26,1,Million acres,Harvested acres,Oats,Crops
1073,Market year,2025/26,2.8,Million acres,Planted acres,Oats,Crops
1074,Market year,2025/26,37,Million bushels,Beginning stocks,Oats,Crops
1075,Market year,2025/26,36,Million bushels,Ending stocks,Oats,Crops
1076,Market year,2025/26,95,Million bushels,Imports,Oats,Crops
1077,Market year,2025/26,68,Million bushels,Production,Oats,Crops
1078,Market year,2025/26,200,Million bushels,Total supply,Oats,Crops
1079,Market year,2025/26,162,Million bushels,Domestic use,Oats,Crops
1080,Market year,2025/26,82,Million bushels,"Food, seed, & industrial",Oats,Crops
1081,Market year,2025/26,80,Million bushels,Feed & residual,Oats,Crops
1082,Market year,2025/26,164,Million bushels,Total use,Oats,Crops
1083,Market year,2025/26,2,Million bushels,Exports,Oats,Crops
1084,Market year,2025/26,49,Dollars per acre,Net returns,Oats,Crops
1085,Market year,2025/26,2,Dollars per bushel,Loan rate,Oats,Crops
1086,Market year,2025/26,2.65,Dollars per bushel,Farm price,Oats,Crops
1087,Market year,2025/26,22,Percent,"Stocks/use ratio, percent",Oats,Crops
1088,Market year,2025/26,131,Dollars,Variable cost of production (per acre),Oats,Crops
1089,Market year,2025/26,1.93,Dollars,Variable cost of production (per bushel),Oats,Crops
1090,Market year,2025/26,67.8,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
1091,Market year,2025/26,2650,Thousand acres,Harvested acres,Rice,Crops
1092,Market year,2025/26,2700,Thousand acres,Planted acres,Rice,Crops
1093,Market year,2025/26,468,Dollars per acre,Net returns,Rice,Crops
1094,Market year,2025/26,15.8,Percent,"Stocks/use ratio, percent",Rice,Crops
1095,Market year,2025/26,7,Dollars per hundredweight,Loan rate,Rice,Crops
1096,Market year,2025/26,13.4,Dollars per hundredweight,Farm price,Rice,Crops
1097,Market year,2025/26,572,Dollars,Variable cost of production (per acre),Rice,Crops
1098,Market year,2025/26,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
1099,Market year,2025/26,38.5,Million hundredweight,Beginning stocks,Rice,Crops
1100,Market year,2025/26,39.2,Million hundredweight,Ending stocks,Rice,Crops
1101,Market year,2025/26,70,Million hundredweight,"Milling rate, percent",Rice,Crops
1102,Market year,2025/26,43.5,Million hundredweight,Imports,Rice,Crops
1103,Market year,2025/26,205.7,Million hundredweight,Production,Rice,Crops
1104,Market year,2025/26,287.7,Million hundredweight,Total supply,Rice,Crops
1105,Market year,2025/26,149.4,Million hundredweight,Domestic use & residual,Rice,Crops
1106,Market year,2025/26,248.4,Million hundredweight,Total use,Rice,Crops
1107,Market year,2025/26,99,Million hundredweight,Exports,Rice,Crops
1108,Market year,2025/26,7762,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
1109,Market year,2025/26,6.2,Million acres,Harvested acres,Sorghum,Crops
1110,Market year,2025/26,7,Million acres,Planted acres,Sorghum,Crops
1111,Market year,2025/26,33,Million bushels,Beginning stocks,Sorghum,Crops
1112,Market year,2025/26,30,Million bushels,Ending stocks,Sorghum,Crops
1113,Market year,2025/26,0,Million bushels,Imports,Sorghum,Crops
1114,Market year,2025/26,427,Million bushels,Production,Sorghum,Crops
1115,Market year,2025/26,460,Million bushels,Total supply,Sorghum,Crops
1116,Market year,2025/26,110,Million bushels,Domestic use,Sorghum,Crops
1117,Market year,2025/26,40,Million bushels,"Food, seed, & industrial",Sorghum,Crops
1118,Market year,2025/26,70,Million bushels,Feed & residual,Sorghum,Crops
1119,Market year,2025/26,430,Million bushels,Total use,Sorghum,Crops
1120,Market year,2025/26,320,Million bushels,Exports,Sorghum,Crops
1121,Market year,2025/26,123,Dollars per acre,Net returns,Sorghum,Crops
1122,Market year,2025/26,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
1123,Market year,2025/26,3.7,Dollars per bushel,Farm price,Sorghum,Crops
1124,Market year,2025/26,7,Percent,"Stocks/use ratio, percent",Sorghum,Crops
1125,Market year,2025/26,132,Dollars,Variable cost of production (per acre),Sorghum,Crops
1126,Market year,2025/26,1.91,Dollars,Variable cost of production (per bushel),Sorghum,Crops
1127,Market year,2025/26,69,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
1128,Market year,2025/26,341,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
1129,Market year,2025/26,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
1130,Market year,2025/26,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
1131,Market year,2025/26,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
1132,Market year,2025/26,55050,Thousand short tons,Total use,Soybean meal,Crops
1133,Market year,2025/26,400,Thousand short tons,Imports,Soybean meal,Crops
1134,Market year,2025/26,54650,Thousand short tons,Production,Soybean meal,Crops
1135,Market year,2025/26,55450,Thousand short tons,Total supply,Soybean meal,Crops
1136,Market year,2025/26,40800,Thousand short tons,Domestic use,Soybean meal,Crops
1137,Market year,2025/26,14250,Thousand short tons,Exports,Soybean meal,Crops
1138,Market year,2025/26,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
1139,Market year,2025/26,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
1140,Market year,2025/26,1770,Million pounds,Beginning stocks,Soybean oil,Crops
1141,Market year,2025/26,1820,Million pounds,Ending Stocks,Soybean oil,Crops
1142,Market year,2025/26,27200,Million pounds,Total use,Soybean oil,Crops
1143,Market year,2025/26,350,Million pounds,Imports,Soybean oil,Crops
1144,Market year,2025/26,26900,Million pounds,Production,Soybean oil,Crops
1145,Market year,2025/26,29020,Million pounds,Total supply,Soybean oil,Crops
1146,Market year,2025/26,24800,Million pounds,Domestic use,Soybean oil,Crops
1147,Market year,2025/26,8350,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
1148,Market year,2025/26,2400,Million pounds,Exports,Soybean oil,Crops
1149,Market year,2025/26,89.7,Million acres,Harvested acres,Soybeans,Crops
1150,Market year,2025/26,90.5,Million acres,Planted acres,Soybeans,Crops
1151,Market year,2025/26,299,Million bushels,Beginning stocks,Soybeans,Crops
1152,Market year,2025/26,303,Million bushels,Ending Stocks,Soybeans,Crops
1153,Market year,2025/26,15,Million bushels,Imports,Soybeans,Crops
1154,Market year,2025/26,4735,Million bushels,Production,Soybeans,Crops
1155,Market year,2025/26,5049,Million bushels,Total supply,Soybeans,Crops
1156,Market year,2025/26,2315,Million bushels,Crush,Soybeans,Crops
1157,Market year,2025/26,141,Million bushels,Seed and residual,Soybeans,Crops
1158,Market year,2025/26,4746,Million bushels,Total use,Soybeans,Crops
1159,Market year,2025/26,2290,Million bushels,Exports,Soybeans,Crops
1160,Market year,2025/26,348,Dollars per acre,Net returns,Soybeans,Crops
1161,Market year,2025/26,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
1162,Market year,2025/26,2.49,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
1163,Market year,2025/26,9.65,Dollars per bushel,Farm price,Soybeans,Crops
1164,Market year,2025/26,6.4,Percent,"Stocks/use ratio, percent",Soybeans,Crops
1165,Market year,2025/26,162,Dollars,Variable cost of production (per acre),Soybeans,Crops
1166,Market year,2025/26,3.06,Dollars,Variable cost of production (per bushel),Soybeans,Crops
1167,Market year,2025/26,52.8,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
1168,Market year,2025/26,10.5,Million acres,Harvested acres,Upland Cotton,Crops
1169,Market year,2025/26,12.3,Million acres,Planted acres,Upland Cotton,Crops
1170,Market year,2025/26,5975,Thousand bales,Beginning stocks,Upland Cotton,Crops
1171,Market year,2025/26,6075,Thousand bales,Ending stocks,Upland Cotton,Crops
1172,Market year,2025/26,5,Thousand bales,Imports,Upland Cotton,Crops
1173,Market year,2025/26,19000,Thousand bales,Production,Upland Cotton,Crops
1174,Market year,2025/26,24980,Thousand bales,Total supply,Upland Cotton,Crops
1175,Market year,2025/26,2900,Thousand bales,Domestic use,Upland Cotton,Crops
1176,Market year,2025/26,18850,Thousand bales,Total use,Upland Cotton,Crops
1177,Market year,2025/26,15950,Thousand bales,Exports,Upland Cotton,Crops
1178,Market year,2025/26,227,Dollars per acre,Net returns,Upland Cotton,Crops
1179,Market year,2025/26,32.2,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
1180,Market year,2025/26,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
1181,Market year,2025/26,0.67,Dollars per pound,Farm price,Upland Cotton,Crops
1182,Market year,2025/26,466,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
1183,Market year,2025/26,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
1184,Market year,2025/26,870,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
1185,Market year,2025/26,37.7,Million acres,Harvested acres,Wheat,Crops
1186,Market year,2025/26,45,Million acres,Planted acres,Wheat,Crops
1187,Market year,2025/26,749,Million bushels,Beginning stocks,Wheat,Crops
1188,Market year,2025/26,720,Million bushels,Ending stocks,Wheat,Crops
1189,Market year,2025/26,130,Million bushels,Imports,Wheat,Crops
1190,Market year,2025/26,1911,Million bushels,Production,Wheat,Crops
1191,Market year,2025/26,2790,Million bushels,Total supply,Wheat,Crops
1192,Market year,2025/26,1120,Million bushels,Domestic use,Wheat,Crops
1193,Market year,2025/26,969,Million bushels,Food,Wheat,Crops
1194,Market year,2025/26,90,Million bushels,Feed & residual,Wheat,Crops
1195,Market year,2025/26,61,Million bushels,Seed,Wheat,Crops
1196,Market year,2025/26,2070,Million bushels,Total use,Wheat,Crops
1197,Market year,2025/26,950,Million bushels,Exports,Wheat,Crops
1198,Market year,2025/26,126,Dollars per acre,Net returns,Wheat,Crops
1199,Market year,2025/26,3.38,Dollars per bushel,Loan rate,Wheat,Crops
1200,Market year,2025/26,5.1,Dollars per bushel,Farm price,Wheat,Crops
1201,Market year,2025/26,34.8,Percent,"Stocks/use ratio, percent",Wheat,Crops
1202,Market year,2025/26,133,Dollars,Variable cost of production (per acre),Wheat,Crops
1203,Market year,2025/26,2.62,Dollars,Variable cost of production (per bushel),Wheat,Crops
1204,Market year,2025/26,50.7,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
1205,Market year,2026/27,2.2,Million acres,Harvested acres,Barley,Crops
1206,Market year,2026/27,2.6,Million acres,Planted acres,Barley,Crops
1207,Market year,2026/27,80,Million bushels,Beginning stocks,Barley,Crops
1208,Market year,2026/27,79,Million bushels,Ending stocks,Barley,Crops
1209,Market year,2026/27,10,Million bushels,Imports,Barley,Crops
1210,Market year,2026/27,177,Million bushels,Production,Barley,Crops
1211,Market year,2026/27,267,Million bushels,Total supply,Barley,Crops
1212,Market year,2026/27,183,Million bushels,Domestic use,Barley,Crops
1213,Market year,2026/27,143,Million bushels,"Food, seed, & industrial",Barley,Crops
1214,Market year,2026/27,40,Million bushels,Feed & residual,Barley,Crops
1215,Market year,2026/27,188,Million bushels,Total use,Barley,Crops
1216,Market year,2026/27,5,Million bushels,Exports,Barley,Crops
1217,Market year,2026/27,182,Dollars per acre,Net returns,Barley,Crops
1218,Market year,2026/27,2.5,Dollars per bushel,Loan rate,Barley,Crops
1219,Market year,2026/27,4.5,Dollars per bushel,Farm price,Barley,Crops
1220,Market year,2026/27,42,Percent,"Stocks/use ratio, percent",Barley,Crops
1221,Market year,2026/27,180,Dollars,Variable cost of production (per acre),Barley,Crops
1222,Market year,2026/27,2.24,Dollars,Variable cost of production (per bushel),Barley,Crops
1223,Market year,2026/27,80.5,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
